City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Camopi,GF,74.23,overcast clouds,3.1655,-52.3158,Chez Lucia
629,Aranos,,81.16,few clouds,-24.1333,19.1167,Aranos Hotel
630,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Apart Hotel Geotel Calama
631,Cap Malheureux,MU,73.47,overcast clouds,-19.9842,57.6142,Cape Garden
636,Dakar,SN,76.08,scattered clouds,14.6937,-17.4441,翁记小吃
639,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Deyna's City Inn
643,La Asuncion,VE,79.21,light rain,11.0333,-63.8628,Hotel La Ciudad
644,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
645,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada tia Fabíola
655,Galle,LK,76.86,overcast clouds,6.0367,80.217,Jungle Hostel Villa
660,Santiago,CL,84.54,clear sky,-33.4569,-70.6483,apart arturo prat
665,Ballina,AU,73.02,overcast clouds,-28.8667,153.5667,Ballina Beach Resort
670,Karasburg,,76.89,clear sky,-28.0167,18.75,U&K Bed & Breakfast
672,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
674,Santa Isabel Do Rio Negro,BR,75.27,overcast clouds,-0.4139,-65.0192,Hotel Maikon
678,Waspan,NI,81.14,broken clouds,14.7419,-83.9717,Hospedaje Vanessa
686,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,Hotel del Valle
