City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Puerto Ayacucho,VE,5.6639,-67.6236,78.01,84,95,0.38,overcast clouds
243,New Norfolk,AU,-42.7826,147.0587,49.91,70,72,1.99,broken clouds
244,San Patricio,US,28.017,-97.5169,69.89,67,0,6.8,clear sky
245,San Diego De Los Banos,CU,22.6467,-83.3697,82.0,64,74,4.32,broken clouds
246,Tommot,RU,58.9564,126.2925,-17.81,99,100,1.23,overcast clouds
247,Hirara,JP,24.8,125.2833,78.53,79,0,12.5,clear sky
248,Usagara,TZ,-2.6833,33.0,69.31,77,92,4.09,light rain
249,Cotonou,BJ,6.3654,2.4183,81.21,78,29,10.54,scattered clouds
250,Tweed,CA,44.4751,-77.3162,33.06,82,10,4.9,clear sky
251,San Ramon,US,37.7799,-121.978,62.56,62,0,19.57,clear sky
252,Moose Factory,CA,51.2585,-80.6094,26.58,59,100,8.05,overcast clouds
253,Cabedelo,BR,-6.9811,-34.8339,79.75,74,26,13.04,scattered clouds
254,Palaikastron,GR,35.2,26.25,61.16,77,2,6.4,clear sky
255,Charters Towers,AU,-20.1,146.2667,74.86,82,100,8.03,overcast clouds
256,Mabaruma,GY,8.2,-59.7833,75.96,96,100,4.41,overcast clouds
257,Ensenada,MX,31.8667,-116.6167,63.95,71,49,7.87,scattered clouds
258,Olinda,BR,-8.0089,-34.8553,80.33,74,40,9.22,scattered clouds
259,Bud,US,39.447,-86.1758,45.91,86,100,4.92,overcast clouds
260,Camabatela,AO,-8.1881,15.375,62.73,99,100,2.19,overcast clouds
261,Barao De Melgaco,BR,-16.1944,-55.9675,99.48,15,0,4.16,clear sky
262,Maceio,BR,-9.6658,-35.7353,80.04,78,0,9.22,clear sky
263,Kourou,GF,5.1552,-52.6478,80.65,83,95,6.24,overcast clouds
264,Eureka,US,40.8021,-124.1637,52.57,83,99,7.0,overcast clouds
265,Flinders,AU,-34.5833,150.8552,64.18,66,1,8.99,clear sky
266,Cancun,MX,21.1743,-86.8466,78.06,88,100,7.94,light rain
267,Aktau,KZ,43.65,51.2,32.58,67,100,8.72,overcast clouds
268,Leningradskiy,RU,69.3833,178.4167,-4.92,88,40,4.14,scattered clouds
269,Moldovita,RO,47.6833,25.5333,30.52,97,100,2.71,overcast clouds
270,La Palma,US,33.8464,-118.0467,66.96,69,75,8.05,broken clouds
271,Badvel,IN,14.75,79.05,70.45,93,9,3.62,clear sky
272,Daoukro,CI,7.0591,-3.9631,77.63,77,99,3.65,light rain
273,Buala,SB,-8.145,159.5921,81.57,80,100,6.31,light rain
274,Torbay,CA,47.6666,-52.7314,39.76,96,100,5.99,light rain
275,Formosa,AR,-26.1775,-58.1781,89.58,48,20,10.36,few clouds
276,Nouadhibou,MR,20.931,-17.0347,72.36,50,0,11.74,clear sky
277,Richards Bay,ZA,-28.783,32.0377,67.57,77,94,2.06,overcast clouds
278,Katangli,RU,51.7102,143.2326,1.6,99,82,4.23,broken clouds
279,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,71.06,88,91,3.06,light rain
280,Bosaso,SO,11.2842,49.1816,75.92,76,59,2.75,broken clouds
281,Tura,IN,25.5198,90.2201,60.49,72,0,3.58,clear sky
282,Manzhouli,CN,49.6,117.4333,-9.45,88,100,22.46,overcast clouds
283,Manta,EC,-0.95,-80.7333,75.13,76,82,14.16,broken clouds
284,Chumikan,RU,54.7183,135.315,-6.47,86,4,11.48,clear sky
285,Fukue,JP,32.6881,128.8419,69.93,92,78,17.56,broken clouds
286,Reconquista,AR,-29.15,-59.65,99.25,18,0,12.33,clear sky
287,Kloulklubed,PW,7.0419,134.2556,79.3,78,83,18.81,broken clouds
288,Vega De Alatorre,MX,20.0333,-96.6333,77.22,85,46,4.59,scattered clouds
289,Bundaberg,AU,-24.85,152.35,78.22,91,100,1.99,overcast clouds
290,Hammerfest,NO,70.6634,23.6821,34.25,75,0,4.61,clear sky
291,Mazatlan,MX,23.2167,-106.4167,79.92,71,0,4.0,clear sky
292,Whitehorse,CA,60.7161,-135.0538,5.31,69,100,11.99,overcast clouds
293,Boo,SE,59.3333,18.2833,38.77,89,75,5.75,broken clouds
294,Malanje,AO,-9.5402,16.341,63.37,97,100,3.09,overcast clouds
295,Wicklow,IE,53.0,-6.4167,41.05,89,68,4.12,broken clouds
296,Mecca,SA,21.4267,39.8261,77.81,69,57,0.72,broken clouds
