City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Darnah,LY,2022-11-26 14:58:23,32.767,22.6367,64.51,57,100,5.08
221,Lyaskelya,RU,2022-11-26 14:58:24,61.7667,31.0167,16.09,94,81,6.04
222,Quatre Cocos,MU,2022-11-26 14:58:24,-20.2078,57.7625,77.11,68,61,14.03
223,Rorvik,NO,2022-11-26 14:58:24,64.8621,11.2373,42.91,61,75,13.8
224,Nabire,ID,2022-11-26 14:58:25,-3.3667,135.4833,75.54,91,98,3.11
225,Conceicao Do Araguaia,BR,2022-11-26 14:58:25,-8.2578,-49.2647,71.17,97,100,5.57
226,Charlestown,AU,2022-11-26 14:57:14,-32.95,151.6667,63.86,89,74,6.26
227,Ahipara,NZ,2022-11-26 14:59:26,-35.1667,173.1667,56.84,94,81,6.29
228,Namibe,AO,2022-11-26 14:59:26,-15.1961,12.1522,75.29,71,23,10.13
229,Vestmannaeyjar,IS,2022-11-26 14:59:27,63.4427,-20.2734,40.19,87,0,6.91
230,Dawson Creek,CA,2022-11-26 14:59:27,55.7666,-120.2362,38.84,56,0,11.5
231,Benjamin Hill,MX,2022-11-26 14:59:28,30.1667,-111.1,49.95,40,0,5.03
232,Paamiut,GL,2022-11-26 14:59:28,61.994,-49.6678,23.09,86,19,9.37
233,North Bend,US,2022-11-26 14:56:00,43.4065,-124.2243,38.07,100,40,0.0
234,Bredasdorp,ZA,2022-11-26 14:59:29,-34.5322,20.0403,66.61,51,60,14.29
235,Grindavik,IS,2022-11-26 14:59:29,63.8424,-22.4338,39.15,100,0,3.44
236,Norilsk,RU,2022-11-26 14:59:30,69.3535,88.2027,-18.58,99,99,6.51
237,Georgetown,MY,2022-11-26 14:57:01,5.4112,100.3354,84.15,80,20,4.61
238,Guymon,US,2022-11-26 14:59:30,36.6828,-101.4816,41.27,70,100,7.4
239,Berezanka,UA,2022-11-26 14:58:42,46.8526,31.388,38.91,91,100,15.26
240,Saldanha,ZA,2022-11-26 14:59:31,-33.0117,17.9442,73.45,69,0,31.09
241,Semey,KZ,2022-11-26 14:59:31,50.4111,80.2275,-9.08,93,100,9.86
